id,title,title_en,period,author,genre,location,source,thumbnail,related_characters,description
cyoujyuu_giga_kou,鳥獣人物戯画絵巻 甲巻,Chōjū-jinbutsu-giga (Kō Volume),平安時代,鳥羽僧正覚猷,"戯画,動物,仏教,年中行事",高山寺,https://colbase.nich.go.jp/collection_items/tnm/A-1530?locale=ja,images/cyoujyuu_yamazaki_kou_thumb.webp,noriyumi,猿と蛙の喧嘩や、兎と蛙の相撲など、動物たちによる遊戯が描かれる。
cyoujyuu_giga_otu,鳥獣人物戯画絵巻 乙巻,Chōjū-jinbutsu-giga (Otsu Volume),平安時代,鳥羽僧正覚猷,"戯画,動物,霊獣,仏教",高山寺,https://colbase.nich.go.jp/collection_items/tnm/A-1530?locale=ja,images/cyoujyuu_yamazaki_otu_thumb.webp,,前半は日本の動物、後半は霊獣など想像上の動物が描かれた、図鑑的構成の巻。
cyoujyuu_giga_hei,鳥獣人物戯画絵巻 丙巻,Chōjū-jinbutsu-giga (Hei Volume),平安〜鎌倉時代,,"戯画,動物,遊戯,仏教",高山寺,https://colbase.nich.go.jp/collection_items/tnm/A-1530?locale=ja,images/cyoujyuu_yamazaki_hei_thumb.webp,,前半は人間の遊戯、後半は動物の競馬や蹴鞠。描かれた料紙の両面性が議論される巻。
cyoujyuu_giga_tei,鳥獣人物戯画絵巻 丁巻,Chōjū-jinbutsu-giga (Tei Volume),鎌倉時代,,"戯画,遊戯,仏教",高山寺,https://colbase.nich.go.jp/collection_items/tnm/A-1530?locale=ja,images/cyoujyuu_yamazaki_tei_thumb.webp,,人間だけが登場し、勢いのある筆致で描かれた異色の巻。
kusouzumaki,九相図巻,Kusōzu Scroll,鎌倉時代,,"仏教,無常,死生観,解剖学",九州国立博物館,https://colbase.nich.go.jp/collection_items/kyuhaku/A70?locale=ja,images/kusouzumaki_thumb.webp,danrinkougou,美しい女性の死後の腐敗を九段階に分けて描いた仏教絵巻。
kusouzu_eitaku,九相図（小林永濯）,Nine Stages of Decay by Kobayashi Eitaku,明治時代,小林永濯,"仏教,無常,死生観,解剖学",大英博物館,https://www.britishmuseum.org/collection/object/A_2008-3033-1,images/kusouzu_eitaku_thumb.webp,,娼婦をモデルにした近代的解釈の九相図。
kusoushiemaki,九相詩絵巻,Kusōshi Emaki,室町時代,,"仏教,無常,死生観,和歌",九州国立博物館,https://colbase.nich.go.jp/collection_items/kyuhaku/A56?locale=ja,images/kusoushiemaki_thumb.webp,,詞書と和歌、風景を添えて九相観を詠んだ詩的な絵巻。
nine_stages_empress_danrin,檀林皇后九相観,Nine Stages of Decay - Empress Danrin,平安時代,,"仏教,無常,死生観,解剖学",ホノルル美術館,https://commons.wikimedia.org/wiki/Category:Nine_Stages_of_Decomposition_of_the_Heian_Period_Empress_Danrin,images/nine-stages-of-decay-empress-danrin_honolulu_thumb.webp,danrinkougou,リチャード・レイン・コレクションとして海外に渡った九相観。
