title,titleen,author,author(en),era(ja),era(en),type(ja),type(en),keyword(ja),keyword(en),personname,id,ファイル&メディア,emaki_kou_characters_summary
鳥獣人物戯画絵巻 甲巻,Chōjū-jinbutsu-giga_first,鳥羽僧正覚猷 (https://www.notion.so/231994f0dfcd802f94a0c59f86750d32?pvs=21),toba-sojo-kakuyu,平安,heiann (https://www.notion.so/heiann-231994f0dfcd81c087c0f05bf58af00f?pvs=21),絵巻,emaki (https://www.notion.so/emaki-231994f0dfcd81988bf1cd595056881b?pvs=21),"年中行事,動物,戯画,仏教,鳥羽絵","annualevent (https://www.notion.so/annualevent-231994f0dfcd8138ac23fb3a4ab6acc4?pvs=21), animal (https://www.notion.so/animal-231994f0dfcd812e913cfabcdd102d35?pvs=21), caricature (https://www.notion.so/caricature-231994f0dfcd816b85d0e1498efc5ef6?pvs=21), buddhism (https://www.notion.so/buddhism-231994f0dfcd81918248e40c63a959f5?pvs=21), tobae (https://www.notion.so/tobae-231994f0dfcd81a68a74ec82d11f7537?pvs=21)",,1,,"白耳 真 (https://www.notion.so/233994f0dfcd81cc801ece65dccf2bac?pvs=21), 青柳 力 (https://www.notion.so/233994f0dfcd81f5951deaf23e307644?pvs=21)"
鳥獣人物戯画絵巻 乙巻,Chōjū-jinbutsu-giga_second”,鳥羽僧正覚猷 (https://www.notion.so/231994f0dfcd802f94a0c59f86750d32?pvs=21),toba-sojo-kakuyu,平安,heiann (https://www.notion.so/heiann-231994f0dfcd81c087c0f05bf58af00f?pvs=21),絵巻,emaki (https://www.notion.so/emaki-231994f0dfcd81988bf1cd595056881b?pvs=21),"年中行事,動物,戯画,仏教,鳥羽絵,霊獣","annualevent (https://www.notion.so/annualevent-231994f0dfcd8138ac23fb3a4ab6acc4?pvs=21), animal (https://www.notion.so/animal-231994f0dfcd812e913cfabcdd102d35?pvs=21), caricature (https://www.notion.so/caricature-231994f0dfcd816b85d0e1498efc5ef6?pvs=21), buddhism (https://www.notion.so/buddhism-231994f0dfcd81918248e40c63a959f5?pvs=21), tobae (https://www.notion.so/tobae-231994f0dfcd81a68a74ec82d11f7537?pvs=21), spiritualbeast (https://www.notion.so/spiritualbeast-231994f0dfcd80f1b7bacb31e7b0c006?pvs=21)",,2,,"ゴズテン (https://www.notion.so/233994f0dfcd8155ba92fc8f7c1c720e?pvs=21), ソウヤ (https://www.notion.so/233994f0dfcd81d292ede798ca4ae4ee?pvs=21)"
鳥獣人物戯画絵巻 丙巻,Chōjū-jinbutsu-giga_third,鳥羽僧正覚猷 (https://www.notion.so/231994f0dfcd802f94a0c59f86750d32?pvs=21),toba-sojo-kakuyu,平安,heiann (https://www.notion.so/heiann-231994f0dfcd81c087c0f05bf58af00f?pvs=21),絵巻,emaki (https://www.notion.so/emaki-231994f0dfcd81988bf1cd595056881b?pvs=21),"戯画,動物,鳥羽絵,年中行事,仏教,鳥羽絵","caricature (https://www.notion.so/caricature-231994f0dfcd816b85d0e1498efc5ef6?pvs=21), animal (https://www.notion.so/animal-231994f0dfcd812e913cfabcdd102d35?pvs=21), tobae (https://www.notion.so/tobae-231994f0dfcd81a68a74ec82d11f7537?pvs=21), annualevent (https://www.notion.so/annualevent-231994f0dfcd8138ac23fb3a4ab6acc4?pvs=21), buddhism (https://www.notion.so/buddhism-231994f0dfcd81918248e40c63a959f5?pvs=21), tobae (https://www.notion.so/tobae-231994f0dfcd80f681a0fc4d937fa208?pvs=21)",,3,,"イゴマル (https://www.notion.so/233994f0dfcd80019cdfffd4db34aa42?pvs=21), マシラん (https://www.notion.so/233994f0dfcd80feb719deb595a4e7ed?pvs=21)"
鳥獣人物戯画絵巻 丁巻,Chōjū-jinbutsu-giga_fourth,鳥羽僧正覚猷 (https://www.notion.so/231994f0dfcd802f94a0c59f86750d32?pvs=21),toba-sojo-kakuyu,鎌倉,kamakura (https://www.notion.so/kamakura-231994f0dfcd81d69510c33aba3db9c7?pvs=21),絵巻,emaki (https://www.notion.so/emaki-231994f0dfcd81988bf1cd595056881b?pvs=21),"戯画,鳥羽絵,仏教","caricature (https://www.notion.so/caricature-231994f0dfcd816b85d0e1498efc5ef6?pvs=21), tobae (https://www.notion.so/tobae-231994f0dfcd81a68a74ec82d11f7537?pvs=21), buddhism (https://www.notion.so/buddhism-231994f0dfcd81918248e40c63a959f5?pvs=21)",,4,,"マリオ (https://www.notion.so/233994f0dfcd802c9424d9c15d2f0acf?pvs=21), インジ (https://www.notion.so/233994f0dfcd80a8a970e18dc54ef843?pvs=21)"
九相図巻,kusouzumaki,,,鎌倉,kamakura (https://www.notion.so/kamakura-231994f0dfcd81d69510c33aba3db9c7?pvs=21),絵巻,emaki (https://www.notion.so/emaki-231994f0dfcd81988bf1cd595056881b?pvs=21),"仏教,無常,死生観,解剖学","buddhism (https://www.notion.so/buddhism-231994f0dfcd81918248e40c63a959f5?pvs=21), impermanence (https://www.notion.so/impermanence-231994f0dfcd805caf17db4084faacaa?pvs=21), lifeandodeath (https://www.notion.so/lifeandodeath-231994f0dfcd80eb9720e474e53c427d?pvs=21), anatomy (https://www.notion.so/anatomy-231994f0dfcd80c4a95ae0e40571612c?pvs=21)",,5,,
九相図（小林永濯）,kusouzu_kobayasieieitaku,小林永濯 (https://www.notion.so/231994f0dfcd80658f36d7620100b261?pvs=21),kobayashi-eitaku,明治,meiji (https://www.notion.so/meiji-231994f0dfcd81b68aa8d4a914daf848?pvs=21),絵巻,emaki (https://www.notion.so/emaki-231994f0dfcd81988bf1cd595056881b?pvs=21),"無常,仏教,死生観,解剖学","impermanence (https://www.notion.so/impermanence-231994f0dfcd805caf17db4084faacaa?pvs=21), buddhism (https://www.notion.so/buddhism-231994f0dfcd81918248e40c63a959f5?pvs=21), lifeandodeath (https://www.notion.so/lifeandodeath-231994f0dfcd80eb9720e474e53c427d?pvs=21), anatomy (https://www.notion.so/anatomy-231994f0dfcd80c4a95ae0e40571612c?pvs=21)",,6,,
九相詩絵巻,kusoushiemaki,,,室町,muromachi (https://www.notion.so/muromachi-231994f0dfcd81cf8430d870e7eb6f61?pvs=21),絵巻,emaki (https://www.notion.so/emaki-231994f0dfcd81988bf1cd595056881b?pvs=21),"無常,仏教,死生観,解剖学,和歌","impermanence (https://www.notion.so/impermanence-231994f0dfcd805caf17db4084faacaa?pvs=21), buddhism (https://www.notion.so/buddhism-231994f0dfcd81918248e40c63a959f5?pvs=21), lifeandodeath (https://www.notion.so/lifeandodeath-231994f0dfcd80eb9720e474e53c427d?pvs=21), anatomy (https://www.notion.so/anatomy-231994f0dfcd80c4a95ae0e40571612c?pvs=21), waka (https://www.notion.so/waka-231994f0dfcd80f58e17e2d3b83700d1?pvs=21)",,7,,
檀林皇后九相観,nine-stages-of-decay-empress-danrin,,,平安,heiann (https://www.notion.so/heiann-231994f0dfcd81c087c0f05bf58af00f?pvs=21),絵巻,emaki (https://www.notion.so/emaki-231994f0dfcd81988bf1cd595056881b?pvs=21),"無常,仏教,死生観,解剖学","impermanence (https://www.notion.so/impermanence-231994f0dfcd805caf17db4084faacaa?pvs=21), buddhism (https://www.notion.so/buddhism-231994f0dfcd81918248e40c63a959f5?pvs=21), lifeandodeath (https://www.notion.so/lifeandodeath-231994f0dfcd80eb9720e474e53c427d?pvs=21), anatomy (https://www.notion.so/anatomy-231994f0dfcd80c4a95ae0e40571612c?pvs=21)",檀林皇后 (https://www.notion.so/231994f0dfcd8096bf54d00566be7298?pvs=21),,,
